chain,result,count
motif:pawn_chain,draw,11
motif:open_file|pawn_chain,draw,10
motif:open_file|open_file|pawn_chain,draw,14
motif:open_file|open_file|open_file|open_file|open_file|open_file,draw,5
motif:open_file|pawn_chain,success,12
motif:backward_pawn|battery|pawn_chain,draw,8
motif:backward_pawn|battery|double_attack|isolated_pawn|pawn_chain,draw,2
motif:backward_pawn|battery|doubled_pawn|isolated_pawn|king_attack|open_file,draw,2
motif:backward_pawn|battery|isolated_pawn|king_attack|open_file,draw,240
motif:backward_pawn|isolated_pawn|open_file,draw,2549
motif:backward_pawn|isolated_pawn|king_attack|open_file,draw,211
motif:backward_pawn|double_attack|isolated_pawn|open_file,draw,910
motif:backward_pawn|isolated_pawn|king_attack|open_file|pawn_break,draw,6
motif:king_attack|open_file,draw,454
motif:king_attack|open_file|rook_on_seventh,draw,15
motif:backward_pawn|battery|isolated_pawn,success,49
motif:backward_pawn|isolated_pawn|open_file,success,3
motif:backward_pawn|battery|isolated_pawn|open_file,success,179
motif:backward_pawn|battery|isolated_pawn,1-0,7
motif:backward_pawn|battery|double_attack|doubled_pawn|isolated_pawn|pawn_break|pawn_chain,draw,526
motif:backward_pawn|battery|isolated_pawn,draw,266
motif:backward_pawn|battery|double_attack|isolated_pawn|open_file,draw,50
motif:backward_pawn|battery|isolated_pawn|open_file,draw,2975
motif:backward_pawn|battery|double_attack|isolated_pawn,draw,11
motif:backward_pawn|double_attack|isolated_pawn,draw,14
motif:battery|king_attack|open_file,draw,722
motif:backward_pawn|battery|pawn_chain,failure,6
motif:backward_pawn|battery,draw,1080
motif:backward_pawn|battery|double_attack|fork|isolated_pawn,draw,17
motif:backward_pawn|isolated_pawn|king_attack|open_file|pawn_chain,draw,7
motif:backward_pawn|battery,success,129
motif:backward_pawn|battery|double_attack|doubled_pawn|fork|isolated_pawn|pawn_break|pawn_chain,success,818
motif:backward_pawn|battery|doubled_pawn|isolated_pawn|pawn_break|pawn_chain,success,16
motif:backward_pawn|battery|double_attack|doubled_pawn|isolated_pawn|pawn_break|pawn_chain,success,13
motif:backward_pawn|battery|doubled_pawn|isolated_pawn|open_file,draw,4
motif:backward_pawn|doubled_pawn|isolated_pawn|king_attack|open_file,draw,32
motif:backward_pawn|battery|doubled_pawn|isolated_pawn|pawn_break|pawn_chain,draw,432
motif:backward_pawn|battery|double_attack|doubled_pawn|fork|isolated_pawn|pawn_break|pawn_chain,draw,7715
motif:backward_pawn|battery|double_attack|fork|pawn_break|pawn_chain,draw,39
motif:backward_pawn|double_attack|isolated_pawn|open_file,success,10
motif:backward_pawn|battery|double_attack|isolated_pawn|king_attack|open_file,draw,32
motif:backward_pawn|battery|double_attack,draw,101
motif:backward_pawn|battery|isolated_pawn|king_attack|open_file,success,133
motif:battery|king_attack|open_file,success,10
motif:backward_pawn|battery|double_attack|fork,draw,37
motif:backward_pawn|double_attack|doubled_pawn|fork|pawn_break|pawn_chain,draw,12
motif:backward_pawn|doubled_pawn|isolated_pawn|king_attack|open_file|pawn_break,draw,20
motif:backward_pawn|double_attack|doubled_pawn|fork|isolated_pawn|king_attack|open_file|pawn_break,draw,2
motif:backward_pawn|battery|double_attack|pawn_break,draw,1
motif:backward_pawn|battery|pawn_break,draw,3
motif:backward_pawn|battery|double_attack|pawn_chain,draw,1
motif:backward_pawn|battery|double_attack,success,3
motif:backward_pawn|battery|doubled_pawn|isolated_pawn,success,48
motif:backward_pawn|battery|double_attack|doubled_pawn|fork|isolated_pawn,success,9
