chain,result,count
motif:backward_pawn|double_attack|isolated_pawn|king_attack|open_file,draw,54
motif:backward_pawn|isolated_pawn|king_attack|open_file|rook_on_seventh,draw,455
motif:backward_pawn|isolated_pawn|king_attack|open_file,draw,1246
motif:king_attack|open_file,draw,600
motif:backward_pawn|battery|isolated_pawn|king_attack|open_file,draw,353
motif:backward_pawn|isolated_pawn|open_file,draw,192
motif:backward_pawn|double_attack|isolated_pawn|open_file,draw,2
motif:backward_pawn|doubled_pawn|isolated_pawn|open_file,draw,8
motif:backward_pawn|battery|pawn_chain,draw,2691
motif:backward_pawn|isolated_pawn|king_attack|open_file|pawn_break,draw,394
motif:battery,draw,76
motif:backward_pawn|battery,draw,125
motif:backward_pawn|battery|doubled_pawn|isolated_pawn|open_file,draw,10
motif:backward_pawn|battery|pawn_break|pawn_chain,draw,6929
motif:backward_pawn|battery|double_attack|fork|pawn_break|pawn_chain,draw,3154
motif:backward_pawn|doubled_pawn|isolated_pawn|king_attack|open_file,draw,6711
motif:backward_pawn|battery|double_attack|pawn_chain,draw,723
motif:backward_pawn|double_attack|doubled_pawn|isolated_pawn|king_attack|open_file,draw,76
motif:backward_pawn|battery|double_attack|fork|isolated_pawn|pawn_break|pawn_chain|pin,draw,45
motif:backward_pawn|battery|double_attack|doubled_pawn|isolated_pawn|open_file,draw,130
motif:battery|double_attack|fork,draw,1
motif:backward_pawn|battery|double_attack|doubled_pawn|isolated_pawn|open_file,success,33
motif:backward_pawn|battery|doubled_pawn|pawn_chain,draw,369
motif:backward_pawn|battery|isolated_pawn,draw,11
motif:backward_pawn|battery|isolated_pawn|pawn_chain,draw,22
motif:backward_pawn|battery|isolated_pawn,success,3
motif:backward_pawn|battery|isolated_pawn|king_attack|open_file,success,42
motif:backward_pawn|isolated_pawn|open_file|rook_on_seventh,draw,34
motif:backward_pawn|battery|pawn_break,draw,20
motif:backward_pawn|battery|isolated_pawn|pawn_chain,failure,7
motif:backward_pawn|doubled_pawn|isolated_pawn|pawn_break|pawn_chain,draw,83
motif:backward_pawn|isolated_pawn|king_attack|open_file|pin,draw,35
motif:backward_pawn|battery|isolated_pawn,failure,14
motif:backward_pawn|battery|isolated_pawn|king_attack|open_file,failure,45
motif:backward_pawn|battery|double_attack|doubled_pawn|pawn_chain,draw,35
motif:backward_pawn|isolated_pawn|open_file|pawn_break,success,7
motif:backward_pawn|doubled_pawn|isolated_pawn|king_attack|open_file,success,306
motif:backward_pawn|isolated_pawn|open_file|pawn_break,draw,122
motif:backward_pawn|double_attack|doubled_pawn|fork|isolated_pawn|pawn_break|pawn_chain,draw,356
motif:backward_pawn|double_attack|doubled_pawn|isolated_pawn|pawn_break|pawn_chain,draw,15
motif:backward_pawn|battery|isolated_pawn|pawn_break|pawn_chain,draw,1045
motif:backward_pawn|battery|double_attack|isolated_pawn|open_file|pawn_break|pawn_chain,draw,23
motif:backward_pawn|battery|double_attack|fork|isolated_pawn|pawn_break|pawn_chain|pin,failure,76
motif:backward_pawn|isolated_pawn|open_file|pawn_break,failure,43
motif:king_attack|open_file|rook_on_seventh,draw,61
motif:backward_pawn|battery|double_attack,draw,6
motif:backward_pawn|battery|isolated_pawn|open_file|pawn_break|pawn_chain,draw,27
motif:backward_pawn|battery|doubled_pawn|pawn_chain,failure,12
motif:backward_pawn|double_attack|doubled_pawn|fork|isolated_pawn|pawn_break|pawn_chain,failure,39
motif:backward_pawn|doubled_pawn|isolated_pawn|pawn_break|pawn_chain,failure,70
motif:backward_pawn|battery|pawn_chain,success,24
motif:backward_pawn|battery|isolated_pawn|pawn_break|pawn_chain,success,200
motif:backward_pawn|battery|double_attack|fork|isolated_pawn|pawn_break|pawn_chain,success,73
motif:backward_pawn|battery|double_attack|fork|isolated_pawn|king_attack|open_file|pawn_break|pawn_chain,success,97
motif:backward_pawn|battery|isolated_pawn|king_attack|open_file|pawn_break|pawn_chain,success,27
motif:backward_pawn|battery|double_attack|fork|isolated_pawn|pawn_break|pawn_chain,draw,297
motif:backward_pawn|battery|double_attack|fork|isolated_pawn|open_file|pawn_break|pawn_chain,draw,98
motif:backward_pawn|battery|double_attack|fork|isolated_pawn|king_attack|open_file|pawn_break|pawn_chain,draw,1248
motif:backward_pawn|battery|isolated_pawn|king_attack|open_file|pawn_break|pawn_chain,draw,301
motif:backward_pawn|double_attack|doubled_pawn|fork|isolated_pawn|king_attack|open_file|pawn_break,draw,15
motif:doubled_pawn|king_attack|open_file,draw,27
motif:backward_pawn|battery|double_attack|fork|pawn_chain,draw,38
motif:backward_pawn|battery|double_attack|isolated_pawn|king_attack|open_file|pawn_break|pawn_chain,draw,6
motif:backward_pawn|isolated_pawn|open_file|pawn_break|pawn_chain,draw,14
motif:backward_pawn|battery|isolated_pawn|open_file,draw,23
motif:backward_pawn|isolated_pawn|open_file|pawn_chain,draw,39
motif:backward_pawn|battery|pawn_chain,failure,140
motif:backward_pawn|battery|double_attack|pawn_chain,failure,72
motif:backward_pawn|battery|isolated_pawn|pawn_break|pawn_chain,failure,232
motif:backward_pawn|battery|double_attack|fork|isolated_pawn|pawn_break|pawn_chain,failure,85
motif:backward_pawn|battery|double_attack|fork|isolated_pawn|king_attack|open_file|pawn_break|pawn_chain,failure,100
motif:backward_pawn|battery|double_attack|fork|isolated_pawn|open_file|pawn_break|pawn_chain,failure,9
motif:backward_pawn|battery|double_attack|isolated_pawn|pawn_break|pawn_chain,draw,36
motif:backward_pawn|battery|double_attack|isolated_pawn|king_attack|open_file|pawn_break,draw,26
motif:backward_pawn|battery|isolated_pawn|king_attack|open_file|pawn_break,draw,70
motif:backward_pawn|double_attack|isolated_pawn|king_attack|open_file|pawn_break,draw,5
motif:backward_pawn|double_attack|fork|isolated_pawn|king_attack|open_file,draw,2
motif:backward_pawn|battery|doubled_pawn|isolated_pawn|king_attack|open_file|pawn_break|pawn_chain,draw,11
motif:backward_pawn|battery|pawn_break|pawn_chain,success,561
motif:backward_pawn|battery|double_attack|fork|pawn_break|pawn_chain,success,115
motif:backward_pawn|battery|isolated_pawn|king_attack|open_file|pawn_break,success,7
motif:backward_pawn|battery|double_attack|isolated_pawn|pawn_break|pawn_chain,failure,17
motif:backward_pawn|battery|isolated_pawn|king_attack|open_file|pawn_break|pawn_chain,failure,42
motif:backward_pawn|battery|double_attack|isolated_pawn|king_attack|open_file|pawn_break,failure,27
motif:backward_pawn|battery|isolated_pawn|king_attack|open_file|pawn_break,failure,342
motif:backward_pawn|battery|double_attack|pawn_break|pawn_chain,success,2
motif:backward_pawn|battery|double_attack|open_file|pawn_break|pawn_chain,success,2
motif:backward_pawn|double_attack|doubled_pawn|isolated_pawn|king_attack|open_file,success,15
motif:backward_pawn|battery|double_attack|open_file|pawn_break|pawn_chain,draw,305
motif:backward_pawn|battery|double_attack|fork|open_file|pawn_break|pawn_chain,draw,61
motif:backward_pawn|battery|fork|open_file|pawn_break|pawn_chain,draw,3
motif:backward_pawn|battery|open_file|pawn_break|pawn_chain,draw,69
motif:backward_pawn|battery|fork|isolated_pawn|open_file|pawn_break|pawn_chain,draw,13
motif:backward_pawn|double_attack|fork|isolated_pawn|open_file|pawn_chain,draw,6
motif:backward_pawn|isolated_pawn|king_attack|open_file|pawn_chain,draw,16
motif:backward_pawn|battery|double_attack|pawn_break|pawn_chain,draw,624
motif:backward_pawn|battery|isolated_pawn|open_file|pawn_chain,draw,8
motif:backward_pawn|battery|isolated_pawn|king_attack|open_file|pawn_chain,draw,2
motif:backward_pawn|double_attack|isolated_pawn|king_attack|open_file|pin,draw,8
motif:backward_pawn|king_attack|open_file,draw,41
motif:backward_pawn|battery|king_attack|open_file,draw,48
motif:backward_pawn|battery|double_attack|king_attack|open_file,draw,5
motif:backward_pawn|battery|king_attack|open_file|pin,draw,18
motif:backward_pawn|double_attack|king_attack|open_file,draw,5
motif:backward_pawn|battery|double_attack|doubled_pawn|fork|isolated_pawn|open_file|pawn_break,draw,9
motif:backward_pawn|double_attack|doubled_pawn|isolated_pawn|open_file|pawn_break,draw,33
motif:backward_pawn|double_attack|doubled_pawn|fork|isolated_pawn|open_file|pawn_break,draw,3
motif:backward_pawn|doubled_pawn|isolated_pawn|open_file|pawn_break,draw,3
motif:backward_pawn|battery|king_attack|open_file|pawn_break|pawn_chain,draw,3
motif:backward_pawn|battery|open_file|pawn_break|pawn_chain|rook_on_seventh,draw,3
motif:backward_pawn|battery|double_attack|open_file|pawn_break|pawn_chain|rook_on_seventh,draw,3
motif:backward_pawn|battery|double_attack|isolated_pawn|open_file,draw,12
motif:backward_pawn|isolated_pawn|king_attack|open_file|pin|rook_on_seventh,draw,9
b:Ke5|w:Ke1,draw,1
w:Kh2|b:Ke4,draw,1
w:Kh1|b:Qe7,draw,1
b:Qd8|w:Kh1,draw,1
w:Ke1|b:Kd4,draw,1
w:Kd2|b:Ke5,draw,1
b:Kd5|w:Kd2,draw,1
w:Rg2|b:Bd7,draw,1
b:Qb6|w:Ne2,draw,1
w:Kc3|b:Rd8,draw,1
w:Kb2|b:Qb7,draw,1
w:Kc2|b:Qh6,draw,1
b:Qe8|w:Ke2,draw,1
w:Kh2|b:Qd8,draw,1
b:Qa6|w:Kg1,draw,1
w:Kg1|b:Rd7,draw,1
w:Kd1|b:Rd8,draw,1
b:Rd8|w:Ke2,draw,1
w:Kd1|b:Rd7,draw,1
b:Rd7|w:Kc2,draw,2
w:Kc2|b:Rd3,draw,1
w:Kc2|b:Qe6,draw,1
b:Qe6|w:Kd1,draw,1
w:Kf1|b:Qb6,draw,1
b:Qb6|w:Kg1,draw,1
b:Rh8|w:Kd1,draw,1
w:Kc2|b:Bf1,draw,1
b:Bf1|w:Kb3,draw,1
w:Kc2|b:Qf6,draw,1
b:Qf6|w:Kd1,draw,1
w:Kd1|b:Qc6,draw,1
b:Qc6|w:Kc2,draw,1
b:Kg2|w:Kc2,draw,1
w:Kc2|b:Kg1,draw,1
w:Kc3|b:Qf3,draw,1
motif:backward_pawn|battery|fork|pawn_break|pawn_chain,draw,2
w:Kd7|b:Nc3,draw,1
w:Kb8|b:Bc6,draw,1
w:Kd4|b:Bf5,draw,1
w:Ka3|b:Kf5,draw,1
b:Kh5|w:Kf2,draw,1
