chain,result,count
motif:backward_pawn|isolated_pawn|king_attack|open_file,draw,623
motif:king_attack|open_file,draw,1262
motif:backward_pawn|battery|isolated_pawn|king_attack|open_file,draw,650
motif:backward_pawn|doubled_pawn|isolated_pawn|king_attack|open_file,draw,11660
motif:backward_pawn|doubled_pawn|isolated_pawn|open_file,draw,16
motif:backward_pawn|isolated_pawn|open_file,draw,563
motif:backward_pawn|double_attack|isolated_pawn|king_attack|open_file,draw,61
motif:king_attack|open_file|rook_on_seventh,draw,91
motif:backward_pawn|battery|doubled_pawn|isolated_pawn|pawn_break|pawn_chain,draw,188
motif:backward_pawn|battery,draw,513
motif:backward_pawn|battery|pawn_break|pawn_chain,draw,36
motif:backward_pawn|battery|doubled_pawn|isolated_pawn|pawn_break,draw,21
motif:backward_pawn|isolated_pawn|king_attack|open_file,failure,1
motif:battery,draw,22
motif:backward_pawn|battery|double_attack|doubled_pawn|isolated_pawn|pawn_break,draw,3
motif:backward_pawn|battery|double_attack|doubled_pawn|fork|isolated_pawn|pawn_break,draw,203
motif:backward_pawn|battery|doubled_pawn|isolated_pawn|pawn_break|pawn_chain,success,12
motif:backward_pawn|battery|double_attack|doubled_pawn|fork|isolated_pawn|pawn_break,success,4
motif:backward_pawn|battery|double_attack|doubled_pawn|isolated_pawn|pawn_break|pawn_chain,draw,46
motif:backward_pawn|battery|doubled_pawn|isolated_pawn|pawn_break|pawn_chain,failure,33
motif:backward_pawn|battery|double_attack|doubled_pawn|fork|isolated_pawn|pawn_break|pawn_chain,draw,223
motif:backward_pawn|battery|double_attack|doubled_pawn|fork|isolated_pawn|pawn_break,failure,10
motif:backward_pawn|battery|pawn_break,draw,51
motif:backward_pawn|battery|doubled_pawn|isolated_pawn,draw,14
motif:backward_pawn|battery|double_attack|doubled_pawn|isolated_pawn|pawn_break|pawn_chain,failure,1
motif:backward_pawn|battery|doubled_pawn|isolated_pawn|king_attack|open_file,failure,19
motif:backward_pawn|battery|double_attack|fork|pawn_chain,draw,5
motif:backward_pawn|double_attack|doubled_pawn|isolated_pawn|king_attack|open_file,draw,224
motif:backward_pawn|isolated_pawn|king_attack|open_file|rook_on_seventh,draw,927
motif:backward_pawn|isolated_pawn|king_attack|open_file|pin,draw,133
motif:backward_pawn|battery|double_attack|isolated_pawn|king_attack|open_file,draw,16
motif:battery|king_attack|open_file,draw,70
motif:backward_pawn|battery|double_attack|fork|pawn_break|pawn_chain,draw,8
motif:battery,success,1
motif:backward_pawn|doubled_pawn|isolated_pawn|king_attack|open_file,success,307
motif:backward_pawn|double_attack|doubled_pawn|isolated_pawn|king_attack|open_file,success,18
motif:backward_pawn|battery|isolated_pawn|king_attack|open_file,success,11
motif:backward_pawn|isolated_pawn|king_attack|open_file|rook_on_seventh,success,3
motif:backward_pawn|battery|double_attack,draw,24
motif:battery,failure,7
motif:backward_pawn|battery|double_attack|fork|isolated_pawn|pawn_break|pawn_chain,draw,6691
motif:backward_pawn|battery|isolated_pawn|pawn_break|pawn_chain,draw,28
motif:backward_pawn|battery|double_attack|isolated_pawn|pawn_break|pawn_chain,draw,78
motif:backward_pawn|isolated_pawn|open_file|pawn_chain,draw,4
motif:backward_pawn|king_attack|open_file,draw,188
motif:backward_pawn|battery|doubled_pawn|pawn_break,draw,4
motif:backward_pawn|battery|double_attack|doubled_pawn|pawn_break|pawn_chain,draw,21
motif:backward_pawn|battery,success,5
motif:backward_pawn|battery|double_attack|doubled_pawn|isolated_pawn|open_file|pawn_break|rook_on_seventh,draw,51
motif:backward_pawn|battery|doubled_pawn|king_attack|open_file,draw,8
motif:backward_pawn|battery,failure,4
motif:backward_pawn|battery|double_attack|pawn_chain,failure,5
motif:backward_pawn|double_attack|pawn_break|pawn_chain,failure,30
motif:backward_pawn|double_attack|fork|pawn_break|pawn_chain,failure,10
motif:backward_pawn|doubled_pawn|isolated_pawn|pawn_break|pawn_chain,failure,1
motif:backward_pawn|doubled_pawn|isolated_pawn|king_attack|open_file,failure,42
motif:backward_pawn|double_attack|doubled_pawn|pawn_break|pawn_chain,failure,19
motif:backward_pawn|battery|double_attack|fork|pawn_break,draw,25
motif:backward_pawn|battery|double_attack|fork|isolated_pawn|pawn_break,draw,27
motif:backward_pawn|battery|double_attack|fork|isolated_pawn|open_file|pawn_break|pawn_chain,draw,15
motif:backward_pawn|battery|double_attack|fork|isolated_pawn|open_file|pawn_break,draw,19
motif:backward_pawn|battery|pawn_chain|pin,draw,14
motif:backward_pawn|battery|double_attack|pawn_chain|pin,draw,4
motif:backward_pawn|battery|double_attack|fork|isolated_pawn|open_file|pawn_break|pawn_chain|pin,draw,270
motif:backward_pawn|battery|doubled_pawn|isolated_pawn|open_file|pawn_chain,failure,3
motif:backward_pawn|battery|doubled_pawn|isolated_pawn|open_file|pawn_break,failure,9
motif:backward_pawn|battery|isolated_pawn|king_attack|open_file,failure,31
motif:backward_pawn|battery|double_attack|doubled_pawn|king_attack|open_file|pawn_chain,draw,1
motif:backward_pawn|battery|king_attack|open_file,draw,34
motif:backward_pawn|battery|isolated_pawn|open_file|pin,draw,72
motif:backward_pawn|battery|pin,draw,5
motif:backward_pawn|battery|open_file,draw,7
motif:backward_pawn|battery|isolated_pawn|open_file,draw,413
motif:backward_pawn|battery|double_attack|isolated_pawn|open_file,draw,765
motif:backward_pawn|battery|double_attack|isolated_pawn|pin,draw,20
motif:backward_pawn|battery|double_attack|isolated_pawn|pawn_break|pawn_chain|pin,draw,6
motif:backward_pawn|battery|double_attack|isolated_pawn|open_file|pawn_chain|pin,success,10
motif:backward_pawn|battery|fork|pawn_break|pawn_chain,draw,3
motif:backward_pawn|battery|isolated_pawn,draw,298
motif:backward_pawn|battery|double_attack|isolated_pawn,draw,6
motif:backward_pawn|isolated_pawn|open_file|rook_on_seventh,draw,96
motif:backward_pawn|battery|isolated_pawn|king_attack|open_file|pin,draw,54
motif:backward_pawn|battery|isolated_pawn|open_file|pawn_break|pawn_chain|pin,draw,7
motif:backward_pawn|battery|double_attack|isolated_pawn|open_file|pawn_break|pawn_chain|pin,draw,53
motif:backward_pawn|battery|double_attack|pin,failure,1
motif:backward_pawn|battery|isolated_pawn|open_file,failure,33
motif:backward_pawn|battery|double_attack|isolated_pawn|open_file|pawn_chain,failure,6
motif:backward_pawn|battery|double_attack|isolated_pawn|open_file|pawn_chain|pin,failure,199
motif:backward_pawn|battery|double_attack|fork|isolated_pawn|open_file|pawn_break|pawn_chain|pin,failure,39
motif:backward_pawn|battery|isolated_pawn|king_attack|open_file|pawn_chain|pin,failure,1
motif:backward_pawn|isolated_pawn|king_attack|open_file|rook_on_seventh,failure,35
motif:backward_pawn|battery|double_attack|fork|isolated_pawn,draw,19
motif:backward_pawn|battery|double_attack|fork|isolated_pawn|open_file,draw,5
motif:battery|open_file,draw,5
motif:open_file,draw,15
motif:backward_pawn|battery|double_attack|doubled_pawn|fork|pawn_break,draw,5
motif:backward_pawn|battery|doubled_pawn|open_file|pawn_break|pawn_chain,draw,10
motif:backward_pawn|battery|double_attack|doubled_pawn|fork|open_file|pawn_break|pawn_chain,draw,12
motif:backward_pawn|battery|double_attack|doubled_pawn|fork|isolated_pawn|open_file|pawn_break|pawn_chain,draw,16
motif:backward_pawn|double_attack|isolated_pawn|open_file,draw,60
motif:backward_pawn|battery|pawn_break|pawn_chain|pin,draw,3
motif:backward_pawn|battery|double_attack|pawn_break|pawn_chain|pin,draw,3
motif:backward_pawn|double_attack|doubled_pawn|fork|isolated_pawn|pawn_break,draw,13
motif:backward_pawn|battery|pawn_chain|pin,success,11
motif:backward_pawn|battery|double_attack|isolated_pawn|pawn_break|pawn_chain|pin,success,4
motif:backward_pawn|battery|double_attack|doubled_pawn|fork|isolated_pawn|pawn_break|pawn_chain|pin,success,1
motif:backward_pawn|battery|double_attack|doubled_pawn|fork|isolated_pawn|pawn_break|pawn_chain,success,1
motif:backward_pawn|battery|double_attack|fork|isolated_pawn|pawn_break|pawn_chain,success,7
motif:backward_pawn|battery|double_attack|isolated_pawn|pawn_break|pawn_chain,success,1
motif:backward_pawn|battery|double_attack|fork|isolated_pawn|open_file|pin,draw,3
motif:backward_pawn|battery|double_attack|fork|isolated_pawn|king_attack|open_file,draw,3
motif:backward_pawn|battery|double_attack|isolated_pawn|king_attack|open_file|pin,draw,3
motif:backward_pawn|battery|double_attack|fork|isolated_pawn|king_attack|open_file|pin,draw,3
motif:backward_pawn|double_attack|fork|isolated_pawn|open_file,draw,6
motif:backward_pawn|isolated_pawn|open_file|pin,draw,23
motif:backward_pawn|double_attack|isolated_pawn|open_file|rook_on_seventh,draw,3
motif:backward_pawn|battery|isolated_pawn|pawn_chain,draw,1
motif:backward_pawn|battery|double_attack|isolated_pawn|open_file|pin,draw,22
motif:backward_pawn|double_attack|isolated_pawn|king_attack|open_file|pawn_chain,draw,40
motif:backward_pawn|isolated_pawn|king_attack|open_file|pawn_chain,draw,38
motif:backward_pawn|battery|isolated_pawn|king_attack|open_file|pawn_chain,draw,41
motif:backward_pawn|battery|double_attack|isolated_pawn|king_attack|open_file|pawn_chain|rook_on_seventh,draw,3
motif:backward_pawn|battery|isolated_pawn|king_attack|open_file|pawn_chain|rook_on_seventh,draw,3
motif:backward_pawn|battery|double_attack|fork,draw,4
motif:backward_pawn|battery|double_attack|pawn_break,draw,2
motif:backward_pawn|battery|double_attack|fork|isolated_pawn|pawn_break|rook_on_seventh,draw,2
motif:backward_pawn|battery|isolated_pawn|rook_on_seventh,draw,8
motif:backward_pawn|battery|double_attack|fork|isolated_pawn|rook_on_seventh,draw,2
motif:backward_pawn|battery|doubled_pawn|isolated_pawn|pawn_chain,draw,3
motif:backward_pawn|battery|double_attack|doubled_pawn|fork|isolated_pawn|pawn_break|pawn_chain|pin,draw,35
motif:backward_pawn|battery|doubled_pawn|isolated_pawn|king_attack|open_file|pawn_chain,draw,12
motif:backward_pawn|battery|double_attack|fork|isolated_pawn|king_attack|open_file|pawn_break|pawn_chain,draw,23
motif:backward_pawn|battery|double_attack|isolated_pawn|open_file|pawn_break|pawn_chain,draw,4
